title,artist_name,writers,producer,release_yr,released,streak,acousticness,danceability,energy,instrumentalness
Bring the Noise,Rihanna," Carlton Ridenhour, Eric Sadler, Hank Shocklee"," Rick Rubin, Carl Ryder",1988," April '88, DefJam",Did not chart,0.323,0.637,0.73,0
Folsom Prison Blues,Miguel, Cash, Sam Phillips,1956,"Jan. '56, Sun",18 weeks; No. 32,0.426,0.612,0.548,0
I Can't Stop Loving You,TLC, Don Gibson, Sid Feller,1962," May '62, ABC-Paramount",18 weeks; No. 1,0.0193,0.811,0.458,1.41E-06
Nothing Compares 2 U,PARTYNEXTDOOR,Prince," O'Connor, Nellee Hooper",1990," March '90, Ensign",21 weeks; No. 1,0.0727,0.344,0.537,0.000127
Bohemian Rhapsody,MIKExANGEL, Freddie Mercury, Roy Thomas Baker,1975," Nov. '75, Elektra",24 weeks; No. 9,0.107,0.577,0.516,0
Fast Car,Nick Jonas, Chapman, David Kershenbaum,1988," April '88, Elektra",21 weeks; No. 6,0.46,0.513,0.496,0
Let's Get It On,Tory Lanez," Gaye, Ed Townsend"," Gaye, Townsend",1973,"June '73, Tamla",14 weeks; No. 1,0.244,0.621,0.777,0
Losing My Religion,Alina Baraz," Berry, Buck, Mills, Stipe"," Scott Lift, R.E.M.",1991," March '91, Warner Bros.",21 weeks; No. 4,0.401,0.684,0.512,0
Both Sides Now,Dreezy, Mitchell, Mitchell,1969," May '69, Reprise",Did not chart,0.552,0.735,0.567,0
Dream On,PJ Morton, Steven Tyler, Arian Barber,1973,"June '73, Columbia",9 weeks; No. 59,0.591,0.502,0.409,0
Dancing Queen,Tom Misch," Benny Andersson, Bj_rn Ulvaeus, Stig Anderson"," Andersson, Ulvaeus",1976," Nov. '76, Atlantic",22 weeks; No. 1,0.391,0.785,0.379,0.0161
God Save the Queen,Usher,"Johnny Rotten, SteveJones, Glen Matlock, Paul Cook", Chris Thomas,1977," May '77, Warner Bros.",Did not chart ,0.198,0.781,0.745,1.14E-05
Paint it Black,Jeremih,"Mick Jagger, Keith Richards", Andrew Loog Oldham,1966," May '66, London",11 weeks; No. 1,0.53,0.679,0.44,5.15E-06
I Fought the Law,Dijon," Sonny Curtis, Fuller", Bob Keane,1966," Feb. '66, Mustang",11 weeks; No. 9,0.512,0.674,0.616,2.10E-06
Don't Worry Baby,Yuna," Brian Wilson, Roger Christian", Wilson,1964," May '64, Capitol",10 weeks; No. 24,0.366,0.678,0.414,3.78E-06
Free Fallin,Keri Hilson," Petty,Jeff Lynne", Lynne,1989,"June '89, MCA",21 weeks; No. 7,0.203,0.666,0.87,0
Love Will Tear Us Apart,The Japanese House," Ian Curtis, Peter Hook, Stephen Morris, Bernard Sumner", Martin Hannett,1980," April '80, Enigma",Did not chart,0.0729,0.605,0.446,0
Hey Ya!,T-Pain, Andr_ 3000,Andre 3000,2003," Sept. '03, LaFace",32 weeks; No. 1,0.0761,0.738,0.519,0
Green Onions,Tory Lanez," Booker T.Jones, Steve Cropper, Lewis Steinberg, Al Jackson",Jim Stewart,1962," Oct. '62, Stax",16 weeks; No. 3,0.305,0.539,0.886,0
Save the Last Dance for Me,The Weeknd," Doc Pomus, Mort Shuman","Jerry Leiber, Mike Stoller",1960," Sept. '60, Atlantic",18 weeks; No. 1,0.682,0.671,0.428,0.0002
The Thrill is Gone,H.E.R.," Roy Hawkins, Rick Darnell", Bill Szymczyk,1969," Dec. '69, BluesWay",14 weeks; No. 15,0.313,0.794,0.448,0.0184
Desolation Row,City Girls, Dylan,Bob Johnston,1965," Aug. '65, Columbia",Non-single,0.0101,0.595,0.695,0
Who'll Stop the Rain,Brent Faiyaz,John Fogerty, Fogerty,1970,"Jan. '70, Fantasy",Did not chart,0.575,0.385,0.473,2.88E-05
I Never Loved a Man (the Way I Love You),Jacquees, Ronny Shannon,Jerry Wexler,1967," March '67, Atlantic",11 weeks; No. 9,0.0163,0.71,0.578,0
Back in Black,JP Saxe," Angus Young, Malcolm Young, Brian Johnson", Mutt Lange,1980,"July '80, Atlantic",15 weeks; No. 37,0.64,0.536,0.426,5.88E-06
Stayin' Alive,Chingy," Robin Gibb, Barry Gibb, Maurice Gibb"," Barry Gibb, Robin Gibb, Maurice Gibb, Karl Richardson, Albhy Galuten",1977," Nov. '77, RSO",27 weeks; No. 1,0.15,0.866,0.749,0
Knockin' on Heaven's Door,H.E.R., Dylan, Gordon Carroll,1973,"July '73, Columbia",16 weeks; No. 12,0.865,0.535,0.395,1.78E-05
Free Bird,Wale," Allen Collins, Ronnie Van Zant", Al Kooper,1973," Sept. '73, MCA",12 weeks; No. 19,0.611,0.512,0.598,0
Rehab,Kiana LedÃ©, Winehouse, Mark Ronson,2007," March '07, Universal Republic",20 weeks; No. 9,0.447,0.789,0.435,0
Wichita Lineman,Iggy Azalea,Jimmy Webb, Al De Lory,1968," Nov. '68, Capitol",15 weeks; No. 3,0.181,0.741,0.726,0.000189
There Goes My Baby,Kelly Clarkson," Benjamin Nelson, Lover Patterson, George Treadwell","Jerry Leiber, Mike Stoller",1959," May '59, Atlantic",19 weeks; No. 2,0.0053,0.808,0.581,1.19E-05
Peggy Sue,PARTYNEXTDOOR,"Jerry Allison, Holly, Norman Petty", Petty,1957," Sept. '57, Coral",22 weeks; No. 3,0.0253,0.598,0.496,0.00132
Sweet Child O'Mine,Tory Lanez, Guns n' Roses, Mike Clink,1987," Aug. '87, Geffen",24 weeks; No. 1,0.0983,0.596,0.557,0
Maybe,The Weeknd, Arlene Smith, Richard Barrett,1957," Dec. '57, End",18 weeks; No. 15,0.0431,0.853,0.663,8.65E-06
Don't Be Cruel,Nina Sky," Otis Blackwell, Presley", Steve Sholes,1956,"July '56, RCA",27 weeks; No. 1,0.0234,0.876,0.71,0.000161
HeyJoe,Fifth Harmony, William Roberts, Chas Chandler,1966," Dec. '66, Reprise",Did not chart,0.023,0.689,0.791,0
Flash Light,Rihanna," George Clinton, Bernie Worrell, Bootsy Collins", Clinton,1977," Dec. '77, Casablanca",16 weeks; No. 16,0.004,0.677,0.671,5.07E-05
Loser,Jason Derulo, Beck Hansen, Karl Stephenson,1993," 1993, Bong Load   ",24 weeks; No. 10,0.128,0.442,0.83,0
Bizarre Love Triangle,DJ Khaled," Bernard Albrecht, Gillian Gilbert, Peter Hook, Stephen Morris", New Order,1986," Oct. '86, Qwest",2 weeks; No. 98,0.0104,0.549,0.791,0
Come Together,Demi Lovato,"John Lennon, Paul McCartney", George Martin,1969," Sept. '69, Apple",16 weeks; No. 1,0.0978,0.583,0.435,0
Positively 4th Street,Nao, Dylan, Bob Johnston,1965," Sept. '65, Columbia",9 weeks; No. 7,0.0895,0.488,0.62,3.03E-05
Try a Little Tenderness,Adrian Marcel,"Jimmy Campbell, Reginald Connelly, Harry Woods"," Steve Cropper,Jim Stewart",1966," Dec. '66, Stax",10 weeks; No. 25,0.0523,0.849,0.521,0
Lean on Me,Mario, Withers, Withers,1972,"June '72, Sussex",19 weeks; No. 1,0.215,0.684,0.455,1.08E-06
"Reach Out, I'll Be There",Jagged Edge," Eddie Holland, Lamont Dozier, Brian Holland"," Holland, Dozier, Holland",1966," Aug. '66, Motown",15 weeks; No. 1,0.31,0.596,0.661,0
Bye Bye Love,T-Pain," Boudleaux Bryant, Felice Bryant", Archie Bleyer,1957," May '57, Cadence",27 weeks; No. 2,0.0236,0.705,0.584,0
Gloria,Ari Lennox, Van Morrison, Tommy Scott,1965," March '65, Parrot",1 week; No. 95,0.619,0.733,0.508,0.00452
In My Room,Big Sean," Brian Wilson, Gary Usher", Wilson,1963," Sept. '63, Capitol",11 weeks; No. 23,0.0167,0.656,0.564,1.39E-06
96 Tears,bLAck pARty, Rudy Martinez, Martinez,1966," Sept. '66, Pa-Go-Go",15 weeks; No. 1,0.261,0.749,0.399,0.0126
"Caroline, No",Olivia O'Brien," Brian Wilson, Tony Asher", Wilson,1966," March '66, Capitol",7 weeks; No. 32,0.779,0.78,0.355,0
1999,GoldLink,Prince,Prince,1982," Oct. '82, Warner Bros.",27 weeks; No. 12,0.104,0.691,0.75,0
Rockin' in the Free World,Raveena, Young," Niko Bolas, Young",1989," Oct. '89, Reprise",Non-single,0.465,0.759,0.404,0.00131
Your Cheatin' Heart,Trevor Daniel," Williams, Fred Rose", Rose,1953,"Jan. '53, MGM",Predates pop charts,0.121,0.803,0.485,0
Do You Believe in Magic,T-Pain,John Sebastian, Erik Jacobsen,1965,"July '65, Kama Sutra",13 weeks; No. 9,0.019,0.514,0.291,0
Jolene,Tinashe, Parton, Bob Ferguson,1974,"Jan. '74, RCA",8 weeks; No. 60,0.571,0.717,0.599,8.99E-06
Boom Boom,Peter CottonTale, Hooker, Calvin Carter,1962," Feb. '62, Vee-Jay",10 weeks; No. 60,0.852,0.362,0.443,0.000132
Spoonful,DaniLeigh, Willie Dixon," Leonard Chess, Phil Chess",1960,"June '60, Chess",Did not chart,0.0353,0.835,0.511,1.19E-06
Walk Away Renee,Ty Dolla $ign," Michael Brown, Bob Calilli, Tony Sansone", Harry Lookofsky,1966," Sept. '66, Smash",13 weeks; No. 5,0.00888,0.858,0.398,0
Walk on the Wild Side,James Blake, Reed," David Bowie, Mick Ronson, Reed",1972," Dec. '72, RCA",14 weeks; No. 16,0.723,0.557,0.278,2.24E-05
"Oh, Pretty Woman",Dreezy," Orbison, Billy Dees", Wesley Rose,1964," Aug. '64, Monument",15 weeks; No. 1,0.261,0.889,0.451,0
Dance to the Music,Snoh Aalegra, Sylvester Stewart (Sly Stone), Stone,1968,"Jan. '68, Epic",15 weeks; No. 8,0.362,0.705,0.513,0.0559
Hoochie Coochie Man,Zara Larsson, Willie Dixon," Leonard Chess, Phil Chess, Willie Dixon",1954,"Jan. '54, Chess",Did not chart,0.00778,0.576,0.782,0
Fire and Rain,BeyoncÃ©, Taylor, Peter Asher,1970," Feb. '70, Warner Bros.",16 weeks; No. 3,0.308,0.665,0.787,0
Should I Stay or Should I Go,Jarreau Vandal, The Clash, GlynJohns,1982," May '82, Epic",13 weeks; No. 45,0.558,0.737,0.429,0
Good Times,Alina Baraz," Nile Rodgers, Bernard Edwards"," Rodgers, Edwards",1979,"June '79, Atlantic",19 weeks; No. 1,0.672,0.63,0.501,0.00131
Mannish Boy,The Carters," McKinley Morganfield, Mel London, Ellas McDaniel"," Leonard Chess, Phil Chess, Willie Dixon",1955," May '55, Chess",Did not chart,0.092,0.912,0.533,1.48E-06
Moondance,Trey Songz, Morrison, Morrison,1970," Feb. '70, Warner Bros.",4 weeks; No. 92,0.0379,0.663,0.693,0
Just Like a Woman,T-Pain, Dylan, Bob Johnston,1966," May '66, Columbia",6 weeks; No. 33,0.0076,0.647,0.484,0
Sexual Healing,BJ The Chicago Kid," Gaye, Odell Brown, David Ritz", Gaye,1982," Oct. '82, Columbia",21 weeks; No. 3,0.38,0.655,0.597,0
Only the Lonely,SZA,"Joe Melson, Orbison", Fred Foster,1960," May '60, Monument",21 weeks; No. 2,0.0658,0.805,0.702,0
We Gotta Get Out of This Place,James Blake," Barry Mann, Cynthia Weil", Mickie Most,1965," Aug.  '65, MGM",11 weeks; No. 13,0.849,0.649,0.468,0.00706
Paper Planes,Sabrina Claudio," M.I.A., Diplo"," Diplo, Switch",2007," August '07, Interscope",21 weeks; No. 4,0.856,0.531,0.352,9.73E-06
I'll Feel a Whole Lot Better,H.E.R., Gene Clark, Terry Melcher,1965,"June '65, Columbia",Did not chart,0.725,0.324,0.493,0.000111
Everyday,T-Pain," Charles Hardin, Norman Petty", Petty,1957," Sept. '57, Coral a",Did not chart,0.186,0.514,0.613,0
I Got a Woman,Daniel Caesar," Charles, Renald Richard",Jerry Wexler,1954," Nov. '54, ABC-Parliament",Predates chart,0.748,0.688,0.425,0.00548
Planet Rock,The Weeknd," Bambaataa,John Robie, the Soul Sonic Force"," Bambaataa, Arthur Baker",1982,"July '82, Tommy Boy",11 weeks; No. 48,0.064,0.599,0.635,0
I Fall to Pieces,Sevyn Streeter, Hank Cochran, Owen Bradley,1961,"Jan. '61, Decca",20 weeks; No. 12,0.0308,0.684,0.526,0
Son of a Preacher Man,Orion Sun,"John Hurley, Ronnie Wilkins",Jerry Wexler,1968," Nov. '68, Atlantic",12 weeks; No. 10,0.161,0.506,0.807,0
The Wanderer,John Legend, Ernie Maresca, Gene Schwartz,1961," Dec. '61, Laurie",18 weeks; No. 2,0.591,0.488,0.762,0
Stand!,BeyoncÃ©, Sly Stone, Stone,1969," April '69, Epic",8 weeks; No. 22,0.0322,0.616,0.78,0
Rocket Man,Demi Lovato,"John, Bernie Taupin", Gus Dudgeon,1972," May '72, Uni",15 weeks; No. 6,0.236,0.643,0.695,0
Love Shack,Labrinth," Kate Pierson, Fred Schneider, Keith Strickland, Cindy Wilson"," Don Was, Nile Rodgers",1989,"June '89, Reprise",27 weeks; No. 3,0.228,0.558,0.522,0
Rapper's Delight,Yo Trane," S. Robinson, H.Jackson, M. Wright, G. O 'Brien", Sylvia Robinson,1979," Oct. '79, Sugar Hill",12 weeks; No. 36 ,0.472,0.631,0.319,0
Chain of Fools,Twista, Don Covay,Jerry Wexler,1967," Nov. '67, Atlantic",12 weeks; No. 2 ,0.182,0.828,0.792,0
Paranoid,Fifth Harmony," Geezer Butler, Tony Iommi, Ozzy Osbourne, William Ward", Rodger Bain,1970," Nov. '70, Warner Bros.",8 weeks; No. 61 ,0.0358,0.596,0.851,3.19E-05
Money Honey,Ravyn Lenae,Jesse Stone," Ahmet Ertegun,Jerry Wexler",1953," Sept.'53, Atlantic",nan,0.0339,0.712,0.846,0.000384
Mack the Knife,Mario," Marc Blitzstein, Bertolt Brecht, Kurt Weill", Ahmet Ertegun,1959," March '59, Atco",26 weeks; No. 1 ,0.00541,0.538,0.677,0
All the Young Dudes,Monica, David Bowie, Bowie,1972,"July  '72, Columbia",11 weeks; No. 37 ,0.176,0.618,0.552,0
Paranoid Android,Ne-Yo, Thom Yorke," Nigel Godrich, Radiohead",1997," May '97, Capitol",Did not chart ,0.265,0.622,0.503,0.000473
Highway to Hell,Mariah Carey," Angus Young, Malcolm Young, Bon Scott", RobertJohn Lange,1979," Aug. '79, Atlantic",10 weeks; No. 47 ,0.364,0.71,0.572,0
Heart of Glass,Mario," Deborah Harry, Chris Stein", Mike Chapman,1978," Sept. '78, Chrysalis",21 weeks; No. 1 ,0.277,0.516,0.484,0
Mississippi,August Alsina, Dylan,Jack Frost,2001," Sept. '01, Columbia",Non-Single,0.00648,0.577,0.625,0
Wild Thing,T-Pain, Chip Taylor, Larry Page,1966,"June '66, Atco/Fontana",11 weeks; No. 1,0.000582,0.604,0.577,0
I Can See For Miles,Doja Cat, Pete Townshend, Kit Lambert,1967," Oct. '67, Decca",11 weeks; No. 9,0.0716,0.71,0.71,1.07E-06
Oh,Arin Ray," Marvin Junior,John Funches", Bobby Miller,1969," Aug. '69, Cadet",11 weeks; No. 10,0.257,0.686,0.701,0.00281
Hallelujah,Usher, Leonard Cohen, Andy Wallace,1994," Aug. '94, Columbia",Non-Single,0.0586,0.845,0.467,0
Higher Ground,HONNE, Wonder, Wonder,1973," Aug. '73, Tamla",14 weeks; No. 4,0.21,0.503,0.581,0.000708
Ooo Baby Baby,Madison Beer," Robinson, Warren Moore", Robinson,1965," March '65, Tamla",11 weeks; No. 16,0.028,0.743,0.793,0
Sail Away,Ellie Goulding, Newman, Lenny Waronker,1972,"June '72, Reprise",Did not chart,0.258,0.702,0.705,5.93E-06
Tighten Up,Ama Lou," Bell, Billy Butler", Skipper Lee Frazier,1968," March '68, Atlantic",15 weeks; No. 1,0.855,0.688,0.261,1.25E-06
Personality Crisis,Charli XCX," David Johansen,Johnny Thunders", Todd Rundgren,1973," Aug. '73, Mercury",Did not chart,0.0646,0.867,0.545,0.000289
Jesus Walks,Annmarie," Kanye West, Rhymefest", West,2004," Feb. '04, Roc-a-Fella",25 weeks; No. 11,0.717,0.649,0.646,1.84E-05
Roadrunner,Jason Derulo,Jonathan Richman,John Cale,1976," Oct. '76, Beserkley",Did not chart ,0.0165,0.668,0.718,0
He Stopped Loving Her Today,James Blake," Bobby Braddock,Curly Putnam", Billy Sherrill,1980," March '80, Epic",Did not chart ,0.886,0.413,0.349,0.000195
SloopJohn B,T-Pain," Traditional, Brian Wilson", Wilson,1966," March '66, Capitol",11 weeks; No. 3,0.0871,0.51,0.626,0
Sweet Little Sixteen,Chris Brown, Berry," Leonard Chess, Phil Chess",1958,"Jan. '58, Chess",16 weeks; No. 2,0.388,0.644,0.601,0
Something,Ty Dolla $ign, George Harrison, George Martin,1969," Oct. '69, Apple",16 weeks; No. 3,0.0116,0.77,0.426,0
Somebody to Love,Jorja Smith, Darby Slick, RickJarrard,1967," Feb. '67, RCA",15 weeks; No. 5,0.47,0.583,0.677,0.193
Born in the U.S.A.,The Weeknd, Springsteen," Springsteen,Jon Landau, Chuck Plotkin, Steve Van Zandt",1984,"June '84, Columbia",17 weeks; No. 9,0.418,0.469,0.417,0.000189
Pictures of You,Chris Brown," Robert Smith, Simon Gallup, Boris Williams, Porl Thompson, Roger O'Donnell, Lol Tolhurst"," Smith, David M. Allen",1989," May '89, Elektra",8 weeks; No. 71,0.0424,0.647,0.646,0
Chapel of Love,Les HÃ©rissons,"Jeff Barry, Ellie Greenwich, Phil Spector","Jerry Leiber, Mike Stoller, Barry, Greenwich",1964,"June '64, Red Bird",13 weeks; No. 1,0.0103,0.651,0.484,0.00022
Ain't No Sunshine,CÃ©line Languedoc, Withers, Booker T.Jones,1971,"July '71, Sussex",16 weeks; No. 3,0.647,0.32,0.371,2.51E-06
Seven Nation Army,Henri Salvador,Jack White, White,2003," April '03, V2/Third Man",Appears on: Elephant (V2/Third Man),0.993,0.405,0.0775,0.00304
You Are the Sunshine of My Life,Henri Salvador, Wonder, Wonder,1972," Nov. '72, Tamla",17 weeks; No. 1,0.959,0.495,0.23,0.000207
Help Me,Leopold Stokowski, Mitchell, Mitchell,1974," Feb. '74, Asylum",19 weeks; No. 7,0.88,0.142,0.13,0.655
Call Me,Henri Salvador," Giorgio Moroder, Deborah Harry", Moroder,1980," Feb. '80, Chrysalis",25 weeks; No. 1 ,0.502,0.379,0.368,0
Smokestack Lightning,Henri Salvador, Chester Burnett," Leonard Chess, Phil Chess, Willie Dixon",1956," March '56, Chess",Did not chart ,0.602,0.378,0.378,0.162
Walk This Way,Martin & les fÃ©es," Steven Tyler,Joe Perry"," Rick Rubin,Russell Simmons",1986," May '86, Profile",16 weeks; No. 4,0.317,0.574,0.439,0
Money (That's What I Want),Chorus," Berry Gordy,Janie Bradford", Gordy,1960,"Jan. '60, Anna",17 weeks; No. 23,0.445,0.505,0.504,0
Can't Buy Me Love,Karine Costa,"John Lennon, Paul McCartney", George Martin,1964," March '64, Capitol",10 weeks; No. 1,0.533,0.522,0.431,0
Stan,Randy Newman," Marshall Mathers,D. Armstrong, P. Herman"," Eminem, the 45 King",2000," March '00, Aftermath",15 weeks; No. 51,0.939,0.192,0.0923,0.912
She's Not There,Henri Salvador, Rod Argent, Ken Jones,1964," Oct. '64, Parrot",15 weeks; No. 2 ,0.221,0.739,0.916,0
Train in Vain,Jean Piat," Mick Jones,Joe Strummer", Guy Stevens,1979," Dec. '79, Epic",14 weeks; No. 23,0.879,0.751,0.158,0
Tired of Being Alone,Leopold Stokowski, Green," Willie Mitchell, Green",1971,"July '71, Hi",19 weeks; No. 11,0.903,0.394,0.279,0.881
Black Dog,Henri Salvador,"Jimmy Page, Robert Plant,John Paul Jones", Page,1971," Nov. '71, Atlantic",12 weeks; No. 15,0.992,0.509,0.0133,0.0119
Street Fighting Man,Idoles De La Musique,"Mick Jagger, Keith Richards",Jimmy Miller,1968,"Aug. '68, London",6 weeks; No. 48,0.28,0.756,0.575,0
"Get Up, Stand Up",Chorus,"Bob Marley, Peter Tosh",Chris Blackwell,1975,"Nov. '75, Island",Did not chart,0.976,0.302,0.146,8.94E-06
Heart of Gold,Chorus,Young,"Elliot Mazer, Young",1972,"Feb '72, Reprise",14 weeks; No. 1,0.126,0.492,0.686,0.000191
One Way or Another,Randy Newman,"Deborah Harry, Nigel Harrison",Mike Chapman,1978,"Sept. '78, Chrysalis",14 weeks; No. 24,0.992,0.522,0.117,0.981
Like A Prayer,Henri Salvador,"Madonna, Patrick Leonard","Madonna, Leonard",1989,"March '89, Sire",16 weeks; No. 1,0.974,0.271,0.182,0.0873
One More Time,Chorus,"Thomas Bangalter, Guy-Manuel de Homem-Christo, Anthony Moore",Daft Punk,2000,"Nov. '00, Virgin",16 weeks; No. 61,0.994,0.485,0.124,0
Da Ya Think I'm Sexy?,Claire Guyot,"Stewart, Carmine Appice",Tom Dowd,1978,"Dec. '78, Warner Bros.",21 weeks; No. 1,0.952,0.306,0.435,2.29E-05
Blue Eyes Crying in the Rain,Jean Claude Corbel,Fred Rose,Nelson,1975,"July '75, Columbia",18 weeks; No. 21,0.247,0.538,0.272,0
Ruby Tuesday,Henri Salvador,"Mick Jagger, Keith Richards",Andrew Loog Oldham,1967,"Jan. '67, London",12 weeks; No. 1,0.591,0.601,0.521,0
With a Little Help From My Friends,Henri Salvador,"John Lennon, Paul McCartney",George Martin,1967,"June '67, Capitol",Non-single,0.0575,0.577,0.403,0
Thats Entertainment,Jean Claude Corbel,Paul Weller,"Vic Coppersmith-Heaven, theJam",1980,"Nov. '80, Polydor",Non-single in the U.S.,0.616,0.686,0.221,0
Why Do Fools Fall In Love,Bernard Minet,"Lymon, Morris Levy",George Goldner,1956,"Jan. '56, Gee",21 weeks; No. 6,0.316,0.644,0.851,0
Lonely Teardrops,Jodi Benson,"Berry Gordy, Gwen Gordy, Tyran Carlo",Dick Jacobs,1958,"Nov. '58, Brunswick",21 weeks; No. 7,0.219,0.362,0.412,0
Whats Love Got to Do With It,Henri Salvador,"Terry Britten, Graham Lyle",Britten,1984,"June '84, Capitol",28 weeks; No. 1,0.981,0.605,0.0673,0.00204
Iron Man,Generation B.O.,Black Sabbath,Roger Bain,1971,"Feb. '71, Warner",10 weeks; No. 52,0.6,0.164,0.402,3.41E-06
Wake Up Little Susie,CÃ©line Languedoc,"Felice Bryant, Boudleaux Bryant",Archie Bleyer,1957,"Sept. '57, Cadence",26 weeks; No. 1,0.688,0.582,0.687,0
In Dreams,Chorus,"Joe Melson, Orbison",Fred Foster,1963,"Feb. '63, Monument",13 weeks; No. 7,0.994,0.617,0.135,0
I Put a Spell on You,Henri Salvador,"ScreaminJay Hawkins, Herb Slotkin",Arnold Maxin,1956,"Sept. '56, OKeh",Did not chart,0.634,0.591,0.3,0
Comfortably Numb,Lucie Dolene,"David Gilmour, Roger Waters",Bob Ezrin,1979,"Dec. '79, Columbia",Did not chart,0.864,0.299,0.259,0
Dont Let Me Be Misunderstood,Leopold Stokowski,"Bennie Benjamin, Sol Marcus,Gloria Caldwell",Mickie Most,1965,"Jan. '65, MGM",10 weeks; No. 15,0.899,0.192,0.118,0.45
Alison,Dominique Tirmont,Costello,Nick Lowe,1977,"Nov. '77, Columbia",Did not chart,0.875,0.407,0.399,0
Wish You Were Here,Randy Newman,"David Gilmour, Roger Waters",Pink Floyd,1975,"Sept. '75, Columbia",Non-single,0.737,0.382,0.287,0.834
Many Rivers to Cross,Les HÃ©rissons,Cliff,Cliff,1969,"Dec. '69, A&M",Did not chart,0.672,0.839,0.36,0
